146 165 41  0.2019 1.08463956823871E-07
147 165 41  0.2013 7.6203220809823E-07
148 169 42  0.2077 1.07549289968828E-09
149 169 42  0.2188 1.64051714219133E-08
150 169 42  0.2053 1.57172673782962E-07
151 169 42  0.2062 1.03374521929061E-06
152 173 43  0.2092 1.83193929435638E-09
153 173 43  0.208 2.53371701288857E-08
154 173 43  0.2095 2.24854634024586E-07
155 177 44  0.2115 1.36333792092593E-10
156 177 44  0.2109 3.05677115945434E-09
157 177 44  0.2114 3.85452986976233E-08
158 177 44  0.2109 3.17721874753129E-07
159 181 45  0.2152 2.536170729215E-10
160 181 45  0.2131 5.00375301404072E-09
161 181 45  0.2314 5.77928830144296E-08
162 181 45  0.2143 4.43600245573825E-07
163 185 46  0.2183 4.58533249879469E-10
164 185 46  0.2176 8.04517243752933E-09
165 185 46  0.2192 8.54472672811031E-08
166 185 46  0.3444 6.12222960507402E-07
167 189 47  0.22 8.0772368837878E-10
168 189 47  0.2201 1.27178547401518E-08
169 189 47  0.2189 1.24639693887775E-07
170 189 47  0.2189 8.3554086708918E-07
171 193 48  0.2221 1.38952883473003E-09
172 193 48  0.2228 1.97830441155135E-08
173 193 48  0.2228 1.79452601998838E-07
174 193 48  0.2231 1.12804959662868E-06
175 197 49  0.2353 2.33931122188881E-09
176 197 49  0.2264 3.03027599569554E-08
177 197 49  0.2268 2.55134582708866E-07
178 201 50  0.229 1.87368336788744E-10
179 201 50  0.2622 3.86069917012216E-09
180 201 50  0.2293 4.5735165243114E-08
181 201 50  0.2284 3.5834278589204E-07
182 205 51  0.2328 3.4328295604268E-10
183 205 51  0.2323 6.2546162421682E-09
184 205 51  0.232 6.80516790053166E-08
185 205 51  0.2401 4.97409401258079E-07
186 209 52  0.2343 6.11663138957621E-10
187 209 52  0.2336 9.9582072548855E-09
188 209 52  0.2508 9.98779338651121E-08
189 209 52  0.2415 6.82629769174294E-07
190 213 53  0.2379 1.06282147672096E-09
191 213 53  0.2371 1.55958621502668E-08
192 213 53  0.2381 1.44659891947365E-07
193 213 53  0.2409 9.26568212915873E-07
194 217 54  0.3579 1.80526942232116E-09
195 217 54  0.2481 2.40447986968354E-08
196 217 54  0.2403 2.06856673119949E-07
197 221 55  0.2429 1.39110827980897E-10
198 221 55  0.2548 3.0033995290098E-09
199 221 55  0.2444 3.6517892279169E-08
200 221 55  0.243 2.9215933188395E-07
201 225 56  0.2458 2.58425862899663E-10
202 225 56  0.2477 4.90193026321996E-09
203 225 56  0.2472 5.46658276273973E-08
204 225 56  0.2701 4.07734822495817E-07
205 229 57  0.2619 4.65985419618457E-10
206 229 57  0.2525 7.85883454297977E-09
207 229 57  0.2502 8.07014638849965E-08
208 229 57  0.2503 5.62491685827245E-07
209 233 58  0.2533 8.18053311717939E-10
210 233 58  0.2509 1.23889686153906E-08
211 233 58  0.2515 1.1754768324844E-07
212 233 58  0.2526 7.67364444447838E-07
213 237 59  0.2552 1.40208841098959E-09
214 237 59  0.2543 1.92205815602902E-08
215 237 59  0.274 1.69009799482476E-07
216 241 60  0.2588 1.03559301455457E-10
217 241 60  0.2602 2.3515097011941E-09
218 241 60  0.3802 2.93671973997875E-08
219 241 60  0.2573 2.39974154335647E-07
220 245 61  0.2858 1.95242832651832E-10
221 245 61  0.2614 3.86628690960647E-09
222 245 61  0.2603 4.421723656002E-08
223 245 61  0.2609 3.36629919683621E-07
224 249 62  0.2635 3.56488763646799E-10
225 249 62  0.2747 6.24090760426168E-09
226 249 62  0.2631 6.56435671979939E-08
227 249 62  0.2634 4.66714308001823E-07
228 253 63  0.2671 6.32568775204121E-10
229 253 63  0.2978 9.90174577976557E-09
230 253 63  0.2668 9.61352395517596E-08
231 253 63  0.267 6.39777940971205E-07
232 257 64  0.2696 1.09426855932332E-09
233 257 64  0.2785 1.54558477747125E-08
234 257 64  0.2685 1.38952354389783E-07
235 261 65  0.2718 7.71688479158387E-11
236 261 65  0.2719 1.85034468620157E-09
237 261 65  0.2723 2.37535122842651E-08
238 261 65  0.2708 1.9830484592136E-07
239 265 66  0.277 1.47780409586008E-10
240 265 66  0.3976 3.06482243554799E-09
241 265 66  0.2743 3.59667989609025E-08
242 265 66  0.291 2.79555945224063E-07
243 269 67  0.2803 2.73463870050806E-10
244 269 67  0.2786 4.98090227389593E-09
245 269 67  0.2785 5.36865721941002E-08
246 269 67  0.2772 3.89447162775901E-07
247 273 68  0.2802 4.9074712877248E-10
248 273 68  0.2822 7.95292157157331E-09
249 273 68  0.2808 7.90394004746832E-08
250 273 68  0.2822 5.36343633142305E-07
251 277 69  0.3133 8.57156144711742E-10
252 277 69  0.2838 1.24886257208494E-08
253 277 69  0.2833 1.14826926402125E-07
254 277 69  0.2829 7.30496746333231E-07
255 281 70  0.2867 1.4616235642673E-09
256 281 70  0.287 1.93036451082406E-08
257 281 70  0.3191 1.6468765047343E-07
258 285 71  0.2983 1.11906629661152E-10
259 285 71  0.299 2.43916948497681E-09
